Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1986","1986","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1987","1987","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1988","1988","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1989","1989","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1990","1990","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1991","1991","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1992","1992","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1993","1993","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1994","1994","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1995","1995","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1996","1996","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1997","1997","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1998","1998","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","1999","1999","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","2000","2000","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","2001","2001","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","2002","2002","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","2003","2003","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","2004","2004","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","2005","2005","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","2006","2006","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","2007","2007","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","2008","2008","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","2009","2009","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","2010","2010","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","2011","2011","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","2012","2012","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","2013","2013","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","2014","2014","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","2015","2015","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","2016","2016","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","2017","2017","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","2018","2018","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","2019","2019","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","2020","2020","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","2021","2021","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.07","Abaca, manila hemp, raw","2022","2022","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1961","1961","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1962","1962","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1963","1963","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1964","1964","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1965","1965","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1966","1966","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1967","1967","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1968","1968","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1969","1969","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1970","1970","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1971","1971","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1972","1972","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1973","1973","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1974","1974","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1975","1975","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1976","1976","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1977","1977","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1978","1978","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1979","1979","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1980","1980","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1981","1981","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1982","1982","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1983","1983","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1984","1984","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1985","1985","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1986","1986","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1987","1987","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1988","1988","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1989","1989","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1990","1990","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1991","1991","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1992","1992","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1993","1993","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1994","1994","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1995","1995","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1996","1996","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1997","1997","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1998","1998","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1999","1999","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2000","2000","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2001","2001","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2002","2002","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2003","2003","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2004","2004","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2005","2005","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2006","2006","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2007","2007","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2008","2008","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2009","2009","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2010","2010","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2011","2011","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2012","2012","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2013","2013","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2014","2014","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2015","2015","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2016","2016","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2017","2017","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2018","2018","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2019","2019","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2020","2020","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2021","2021","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","2022","2022","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1961","1961","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1962","1962","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1963","1963","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1964","1964","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1965","1965","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1966","1966","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1967","1967","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1968","1968","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1969","1969","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1970","1970","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1971","1971","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1972","1972","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1973","1973","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1974","1974","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1975","1975","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1976","1976","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1977","1977","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1978","1978","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1979","1979","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1980","1980","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1981","1981","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1982","1982","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1983","1983","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1984","1984","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1985","1985","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1986","1986","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1987","1987","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1988","1988","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1989","1989","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1990","1990","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1991","1991","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1992","1992","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1993","1993","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1994","1994","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1995","1995","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1996","1996","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1997","1997","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1998","1998","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","1999","1999","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","2000","2000","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","2001","2001","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","2002","2002","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","2003","2003","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","2004","2004","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","2005","2005","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","2006","2006","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","2007","2007","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","2008","2008","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","2009","2009","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","2010","2010","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","2011","2011","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","2012","2012","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","2013","2013","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","2014","2014","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","2015","2015","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","2016","2016","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","2017","2017","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","2018","2018","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","2019","2019","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","2020","2020","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","2021","2021","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01371","Almonds, in shell","2022","2022","","","","",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1961","1961","100 g/ha","7059","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1962","1962","100 g/ha","11056","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1963","1963","100 g/ha","13961","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1964","1964","100 g/ha","11481","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1965","1965","100 g/ha","5990","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1966","1966","100 g/ha","11417","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1967","1967","100 g/ha","12152","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1968","1968","100 g/ha","13068","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1969","1969","100 g/ha","8986","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1970","1970","100 g/ha","9281","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1971","1971","100 g/ha","7801","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1972","1972","100 g/ha","9655","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1973","1973","100 g/ha","10773","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1974","1974","100 g/ha","7414","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1975","1975","100 g/ha","10138","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1976","1976","100 g/ha","8613","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1977","1977","100 g/ha","6459","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1978","1978","100 g/ha","12346","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1979","1979","100 g/ha","13446","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1980","1980","100 g/ha","11710","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1981","1981","100 g/ha","9850","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1982","1982","100 g/ha","13310","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1983","1983","100 g/ha","10285","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1984","1984","100 g/ha","9167","E","Estimated value",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1985","1985","100 g/ha","9893","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1986","1986","100 g/ha","5000","X","Figure from international organizations",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1987","1987","100 g/ha","6920","A","Official figure",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1988","1988","100 g/ha","6667","E","Estimated value",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1989","1989","100 g/ha","8090","E","Estimated value",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1990","1990","100 g/ha","6485","E","Estimated value",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1991","1991","100 g/ha","5914","E","Estimated value",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1992","1992","100 g/ha","5000","E","Estimated value",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1993","1993","100 g/ha","5864","E","Estimated value",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1994","1994","100 g/ha","6000","E","Estimated value",""
"QCL","Crops and livestock products","208","Denmark","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1995","1995","100 g/ha","5617","E","Estimated value",""
